,battery_bid_fcas_power,battery_bid_fcas_price,battery_bid_fcas_type,battery_bid_energy_power_gen,battery_bid_energy_power_load,battery_bid_energy_price,battery_bid_energy_type,fcas_clearing_price,energy_price,raise_demand,raise_price,soe,timestamp
0,46.055351152905565,41.0,gen,0,300.0000000461584,54.9,load,41.0,54.9,41.0,27.81,0,2018-06-01 04:30:00
1,66.31312171340565,41.0,gen,0,299.9999999992598,56.19,load,41.0,56.19,41.0,28.5,295.00017477220683,2018-06-01 05:00:00
2,122.0007259670817,41.0,gen,0,299.9999989957191,58.73,load,41.0,58.73,41.0,24.97,590.0003494975151,2018-06-01 05:30:00
3,199.99999994838964,41.67,gen,0,243.99947675117758,62.98,load,41.67,62.98,41.67,20.59,885.0005232192827,2018-06-01 06:00:00
4,199.99999994131053,47.67,gen,0,100.00000000083594,74.24,load,47.67,74.24,47.67,18.24996,1029,2018-06-01 06:30:00
5,199.99999998346448,75.59,gen,-300.0000000334838,0,229.57,gen,70.0,229.57,75.59,30.0,1029,2018-06-01 07:00:00
6,199.9999998394399,62.14,gen,-228.99977655502022,0,104.33,gen,62.14,104.33,62.14,42.27879,728.9997770398238,2018-06-01 07:30:00
7,199.99999981742067,81.0,gen,-299.9999995459199,0,112.42,gen,70.0,112.42,81.0,35.01569,484.42936551011513,2018-06-01 08:00:00
8,199.99999999221805,81.0,gen,-84.42968914641061,0,103.99,gen,70.0,103.99,81.0,30.0,184.42968919392268,2018-06-01 08:30:00
9,199.99999999115846,78.92,gen,0,299.9999999766348,94.0,load,70.0,94.0,78.92,20.0,100.00032327723949,2018-06-01 09:00:00
10,200.00000009704013,77.67,gen,-300.0001491050298,0,101.52,gen,70.0,101.52,77.67,25.73486,400.00020705670016,2018-06-01 09:30:00
11,199.99999999508915,67.67,gen,0,299.99999996324453,82.94,load,67.67,82.94,67.67,18.89,100.00012515967383,2018-06-01 10:00:00
12,199.99999930127888,61.0,gen,0,299.9999986666872,78.59,load,61.0,78.59,61.0,14.9,396.6632951448009,2018-06-01 10:30:00
13,199.99999968391253,61.0,gen,0,299.9999990865947,78.15,load,61.0,78.15,61.0,20.59,681.6641626126772,2018-06-01 11:00:00
14,199.99999977271284,61.0,gen,0,162.3349679511123,83.36,load,61.0,83.36,61.0,13.794529999999998,966.665030500461,2018-06-01 11:30:00
15,2.813081060338953e-07,45.63,gen,-299.99999986933767,0,88.1,gen,63.0,88.1,45.63,16.44944,1029,2018-06-01 12:00:00
16,2.039014698810821e-06,45.0,gen,-4.341797493679217e-06,0,85.15,gen,63.0,85.15,45.0,14.49,729.0000209929837,2018-06-01 12:30:00
17,2.8876617662770216e-06,45.06,gen,0,299.9999686943091,84.84,load,63.0,84.84,45.06,13.851220000000001,729.0000329097129,2018-06-01 13:00:00
18,199.9999979315885,49.88,gen,-99.99989879732313,0,88.41,gen,49.88,88.41,49.88,14.49,1028.9998964772217,2018-06-01 13:30:00
19,199.9999998753863,55.54,gen,0,209.43856853375445,87.63,load,55.54,87.63,55.54,17.5,919.5614313971654,2018-06-01 14:00:00
20,199.9999992265482,56.44,gen,0,99.99999706866114,98.24,load,56.44,98.24,56.44,16.25275,1029,2018-06-01 14:30:00
21,199.9999999063048,63.28,gen,-100.00000015850428,0,98.71,gen,63.28,98.71,63.28,25.096020000000003,1029,2018-06-01 15:00:00
22,199.99999991301598,61.0,gen,0,201.14228530335245,91.98,load,61.0,91.98,61.0,14.9,927.8577146699055,2018-06-01 15:30:00
23,199.99999956233157,61.0,gen,-100.00000046135521,0,106.42,gen,61.0,106.42,61.0,30.0,1029,2018-06-01 16:00:00
24,199.99999882846444,61.0,gen,0,214.99913114995374,98.16,load,61.0,98.16,61.0,30.522540000000003,914.0008683398339,2018-06-01 16:30:00
25,3.9238636271966584e-07,60.33,gen,0,2.5505021846202703e-07,116.58,load,63.0,116.58,60.33,33.3057,1029,2018-06-01 17:00:00
26,6.357490964047185e-08,59.33,gen,-299.9999998721353,0,142.46,gen,63.0,142.46,59.33,66.67344,1029,2018-06-01 17:30:00
27,8.53384316030479e-07,58.86,gen,-300.00000067133305,0,319.69,gen,63.0,319.69,58.86,100.0,729.0000968536898,2018-06-01 18:00:00
28,9.458256226450907e-08,59.0,gen,-299.9999998788313,0,148.45,gen,63.0,148.45,59.0,47.98115,429.0002101678729,2018-06-01 18:30:00
29,1.8112706176734524e-07,59.0,gen,-129.00031537890598,0,135.28,gen,63.0,135.28,59.0,35.66317,129.00031563750514,2018-06-01 19:00:00
30,6.752648227125229e-08,59.0,gen,0,299.9999997952869,124.63,load,63.0,124.63,59.0,33.67313,0.00010558542947388255,2018-06-01 19:30:00
31,1.7780908411050557e-08,59.75,gen,0,299.99999955252997,127.63,load,63.0,127.63,59.75,47.78005,300.00021073594326,2018-06-01 20:00:00
32,8.270708815881853e-07,57.63,gen,-300.0000001006511,0,275.28,gen,63.0,275.28,57.63,30.0,600.0001201872939,2018-06-01 20:30:00
33,8.676165016073834e-09,59.0,gen,0,299.999999941755,126.18,load,63.0,126.18,59.0,30.0,300.00009720547155,2018-06-01 21:00:00
34,199.99999951805157,79.2,gen,0,299.99999959319877,121.22,load,70.0,121.22,79.2,25.96,600.0002025171639,2018-06-01 21:30:00
35,199.99999882750728,71.0,gen,0,228.99991783279327,123.32,load,70.0,123.32,71.0,13.84,900.0000816410032,2018-06-01 22:00:00
36,199.99999913314068,81.0,gen,-300.0000000121158,0,157.98,gen,70.0,157.98,81.0,30.0,1029,2018-06-01 22:30:00
37,199.99999664126636,81.0,gen,0,299.9999999585817,119.39,load,70.0,119.39,81.0,30.0,729.0003232176116,2018-06-01 23:00:00
38,199.99999831328296,81.0,gen,-300.00000025021683,0,193.98,gen,70.0,193.98,81.0,30.0,1029,2018-06-01 23:30:00
39,3.594698678622934e-07,69.27,gen,-300.0000001778347,0,209.72,gen,70.0,209.72,69.27,11.99,729.0003229795107,2018-06-02
40,2.797250641040772e-07,64.33,gen,-129.0002737997157,0,143.89,gen,70.0,143.89,64.33,13.42004,429.00027377645347,2018-06-02 00:30:00
41,-1.0064302805004989e-07,61.0,gen,-299.99989451881214,0,159.21,gen,63.0,159.21,61.0,12.51,299.9998933571722,2018-06-02 01:00:00
